giocatore,squadra,gol_totali,anno
De Sciglio Mattia,Juventus,1,2018
Danilo Larangeira,Udinese,1,2018
Ansaldi Cristian,Torino,1,2018
Vukovic Jagos,Verona,1,2018
Dzemaili Blerim,Bologna,1,2018
Armenteros Samuel,Benevento,1,2018
Defrel Gregoire André,Roma,1,2018
Benali Ahmad,Crotone,1,2018
Rodriguez Ricardo,Milan,1,2018
Bastien Samuel,Chievo,1,2018
Toloi Rafael,Atalanta,1,2018
Diawara Amadou,Napoli,1,2018
Karamoh Yann,Inter,1,2018
Missiroli Simone,Sassuolo,1,2018
Eysseric Valentin,Fiorentina,1,2018
Biglia Lucas,Milan,1,2018
Lemos Mauricio,Sassuolo,1,2018
Ricci Federico,Crotone,1,2018
Edera Simone,Torino,1,2018
Padoin Simone,Cagliari,1,2018
Abate Ignazio,Milan,1,2018
Gosens Robin,Atalanta,1,2018
Pellissier Sergio,Chievo,1,2018
Caceres Martin,Lazio,1,2018
Howedes Benedikt,Juventus,1,2018
Di Francesco Federico,Bologna,1,2018
Crociata Giovanni,Crotone,1,2018
S.W. Lee Seung-woo,Verona,1,2018
C. Sanchez Carlos,Fiorentina,1,2018
Goldaniga Edoardo,Sassuolo,1,2018
Simic Lorenco,SPAL,1,2018
De Rossi Daniele,Roma,1,2018
Montolivo Riccardo,Milan,1,2018
Alvarez Ricardo Gabriel,Sampdoria,1,2018
Martella Bruno,Crotone,1,2018
Palomino José Luis,Atalanta,1,2018
Tonelli Lorenzo,Napoli,1,2018
Kurtic Jasmin,SPAL,1,2018
Cassata Francesco,Sassuolo,1,2018
Pezzella German,Fiorentina,1,2018
Astori Davide,Fiorentina,1,2018
Stryger Larsen Jens,Udinese,1,2018
Nagy Adam,Bologna,1,2018
Rincon Tomas Eduardo,Torino,1,2018
Hugo Vitor,Fiorentina,1,2018
Radovanovic Ivan,Chievo,1,2018
D'Alessandro Marco,Benevento,1,2018
Ingelsson Svante,Udinese,1,2018
Ferrari Alex,Verona,1,2018
Puscas George,Benevento,1,2018
Bessa Daniel,Verona,1,2018
Cataldi Danilo,Benevento,1,2018
Borriello Marco,SPAL,1,2018
Calabria Davide,Milan,1,2018
Quagliarella Fabio,Sampdoria,26,2019
Zapata Duvan,Atalanta,23,2019
Cristiano Ronaldo Dos Santos Aveiro,Juventus,21,2019
Milik Arkadiusz,Napoli,17,2019
Petagna Andrea,SPAL,16,2019
Caputo Francesco,Empoli,16,2019
